update,agent_steps,elapsed_s,steps_per_s,mean_return,mean_score,mean_length,mean_grazes,mean_progress,best_score,policy_loss,value_loss,entropy
0,4096,3.4,1194.1,nan,nan,nan,nan,nan,0.0,-0.0188,0.0452,2.888
1,8192,6.7,1223.8,nan,nan,nan,nan,nan,0.0,-0.0127,0.0687,2.8845
2,12288,10.0,1232.1,nan,nan,nan,nan,nan,0.0,-0.0093,0.1916,2.8826
3,16384,13.2,1238.1,nan,nan,nan,nan,nan,0.0,-0.009,0.3336,2.8772
4,20480,16.6,1237.0,nan,nan,nan,nan,nan,0.0,-0.0073,0.2867,2.8714
5,24576,19.8,1239.6,nan,nan,nan,nan,nan,0.0,-0.0099,0.157,2.8819
6,28672,23.2,1237.4,nan,nan,nan,nan,nan,0.0,-0.0006,16.8749,2.8799
7,32768,26.6,1231.9,nan,nan,nan,nan,nan,0.0,-0.0077,0.3279,2.8727
8,36864,30.1,1224.4,nan,nan,nan,nan,nan,0.0,-0.0081,0.9464,2.8745
9,40960,33.5,1222.7,nan,nan,nan,nan,nan,0.0,-0.012,0.3626,2.8708
10,45056,36.8,1225.2,nan,nan,nan,nan,nan,0.0,-0.0138,0.2679,2.8773
11,49152,40.1,1225.2,nan,nan,nan,nan,nan,0.0,-0.0105,0.4362,2.8637
12,53248,43.5,1224.8,nan,nan,nan,nan,nan,0.0,-0.011,0.1994,2.8639
13,57344,47.2,1215.4,nan,nan,nan,nan,nan,0.0,-0.0071,0.3036,2.8482
14,61440,51.2,1199.5,nan,nan,nan,nan,nan,0.0,-0.0155,0.5991,2.8466
15,65536,55.1,1188.5,nan,nan,nan,nan,nan,0.0,-0.0069,0.2899,2.8382
16,69632,59.3,1174.8,nan,nan,nan,nan,nan,0.0,-0.004,1.7272,2.8194
17,73728,63.3,1164.4,nan,nan,nan,nan,nan,0.0,-0.0118,0.5788,2.8196
18,77824,67.1,1159.0,nan,nan,nan,nan,nan,0.0,-0.0097,0.3006,2.837
19,81920,71.0,1154.6,64.94,13683.3,2551.3,595.3,0.9,15060.0,0.0003,2.6579,2.8373
20,86016,74.7,1151.9,84.83,15104.0,2609.9,567.5,0.91,25960.0,0.004,15.0398,2.8364
21,90112,78.3,1150.3,91.14,15583.8,2664.2,585.1,0.9125,25960.0,-0.0016,14.9829,2.8375
22,94208,82.1,1147.5,87.91,15363.2,2701.6,599.6,0.9105,25960.0,-0.0028,1.353,2.8409
23,98304,85.9,1144.5,85.75,15305.2,2785.1,613.1,0.9074,25960.0,-0.0063,1.3247,2.8515
24,102400,89.8,1140.9,86.69,15422.8,2808.2,622.9,0.9069,25960.0,-0.001,0.8185,2.8581
25,106496,93.5,1139.2,87.43,15515.5,2838.9,627.2,0.9065,25960.0,-0.006,0.4903,2.863
26,110592,97.3,1136.6,87.43,15515.5,2838.9,627.2,0.9065,25960.0,-0.0009,2.448,2.8651
27,114688,101.0,1135.2,87.43,15515.5,2838.9,627.2,0.9065,25960.0,-0.0046,3.1343,2.8626
28,118784,104.7,1134.4,87.43,15515.5,2838.9,627.2,0.9065,25960.0,-0.0018,4.1172,2.8633
29,122880,108.4,1133.9,87.43,15515.5,2838.9,627.2,0.9065,25960.0,-0.0016,4.9962,2.8597
30,126976,112.1,1132.7,87.43,15515.5,2838.9,627.2,0.9065,25960.0,-0.0129,2.319,2.8594
31,131072,115.8,1131.9,87.43,15515.5,2838.9,627.2,0.9065,25960.0,-0.009,2.3574,2.8591
32,135168,119.4,1132.4,87.43,15515.5,2838.9,627.2,0.9065,25960.0,-0.0073,1.5899,2.8535
33,139264,123.1,1131.3,87.43,15515.5,2838.9,627.2,0.9065,25960.0,-0.0151,0.5254,2.8512
34,143360,126.9,1129.6,87.43,15515.5,2838.9,627.2,0.9065,25960.0,-0.0135,0.5067,2.8367
35,147456,130.6,1129.4,87.43,15515.5,2838.9,627.2,0.9065,25960.0,-0.0045,0.4217,2.8211
36,151552,134.4,1127.8,95.35,15995.6,2895.8,637.0,0.9094,30880.0,0.0056,16.8679,2.8251
37,155648,138.2,1126.2,95.35,15995.6,2895.8,637.0,0.9094,30880.0,-0.0113,1.3136,2.8186
38,159744,141.8,1126.3,95.35,15995.6,2895.8,637.0,0.9094,30880.0,-0.0086,1.0654,2.8114
39,163840,145.4,1126.6,95.35,15995.6,2895.8,637.0,0.9094,30880.0,-0.0123,0.9133,2.7993
40,167936,149.0,1126.9,100.54,16226.1,2886.5,632.1,0.9121,30880.0,0.0004,38.7486,2.7963
41,172032,152.7,1126.9,121.22,17124.9,2869.8,603.5,0.9216,30880.0,0.0193,71.5483,2.7943
42,176128,156.2,1127.5,144.92,18162.2,2871.4,575.1,0.9325,30880.0,0.004,104.1163,2.781
43,180224,159.7,1128.5,167.33,19197.2,2893.9,561.5,0.9425,30880.0,-0.0019,89.3321,2.7782
44,184320,163.2,1129.4,179.16,19612.0,2901.2,548.6,0.9475,30880.0,-0.0096,84.7497,2.7693
45,188416,166.7,1130.4,184.5,19803.5,2903.0,542.1,0.95,30880.0,-0.0001,13.4627,2.764
46,192512,170.1,1131.5,198.17,20327.0,2912.6,520.3,0.955,30880.0,-0.0046,59.7385,2.7645
47,196608,173.6,1132.5,208.87,20763.0,2927.5,510.9,0.96,30880.0,-0.0083,48.1604,2.7786
48,200704,177.0,1133.9,214.51,20989.2,2939.9,506.5,0.9625,30880.0,-0.0024,23.0401,2.7607
49,204800,180.5,1134.7,225.31,21433.2,2958.9,493.2,0.9675,30880.0,0.0005,48.7823,2.7496
50,208896,184.0,1135.5,232.65,21823.5,2971.0,482.0,0.97,30880.0,-0.0077,3.6054,2.7693
51,212992,187.5,1135.8,232.65,21823.5,2971.0,482.0,0.97,30880.0,-0.0089,2.2278,2.7999
52,217088,190.9,1136.9,232.65,21823.5,2971.0,482.0,0.97,30880.0,-0.0025,1.3026,2.8118
53,221184,194.4,1137.5,234.13,21965.8,2999.7,491.8,0.97,30880.0,-0.0073,2.155,2.8048
54,225280,197.9,1138.3,234.13,21965.8,2999.7,491.8,0.97,30880.0,-0.011,1.442,2.8067
55,229376,201.5,1138.3,235.32,22078.0,3034.6,502.4,0.97,30880.0,-0.0135,1.4628,2.7933
56,233472,205.3,1137.1,235.32,22078.0,3034.6,502.4,0.97,30880.0,-0.0125,1.5106,2.7673
57,237568,208.9,1137.0,235.32,22078.0,3034.6,502.4,0.97,30880.0,-0.008,0.5435,2.7531
58,241664,212.5,1137.2,236.11,22151.2,3065.2,512.9,0.97,30880.0,-0.0176,0.6212,2.752
59,245760,216.1,1137.3,236.11,22151.2,3065.2,512.9,0.97,30880.0,-0.0069,0.7942,2.7675
60,249856,219.6,1137.6,236.11,22151.2,3065.2,512.9,0.97,30880.0,-0.0075,0.665,2.7666
61,253952,223.5,1136.3,241.61,22359.8,3069.9,502.8,0.9725,30880.0,-0.0042,0.5664,2.7581
62,258048,227.2,1135.6,241.61,22359.8,3069.9,502.8,0.9725,30880.0,-0.0115,0.7512,2.715
63,262144,230.9,1135.1,266.91,23416.0,3097.1,476.7,0.985,30880.0,0.0034,91.6661,2.6811
64,266240,234.6,1134.8,274.53,23349.8,3042.2,436.5,0.99,30880.0,0.0072,126.4011,2.7169
65,270336,238.3,1134.2,274.97,23322.2,3041.3,433.6,0.99,30880.0,-0.002,70.5275,2.7123
66,274432,242.2,1133.1,274.97,23322.2,3041.3,433.6,0.99,30880.0,-0.0066,1.7333,2.6935
67,278528,245.9,1132.7,276.27,23275.2,3049.7,430.4,0.99,30880.0,-0.0028,76.2143,2.6886
68,282624,249.6,1132.4,276.66,23248.5,3041.8,425.2,0.99,30880.0,-0.0063,55.4423,2.7045
69,286720,253.2,1132.5,276.76,23180.0,3048.1,422.8,0.99,30880.0,-0.0053,33.9452,2.6983
70,290816,256.8,1132.6,276.88,23167.5,3044.1,418.2,0.99,30880.0,-0.0051,29.9377,2.674
71,294912,260.4,1132.6,275.58,23136.0,3039.9,415.9,0.99,30880.0,-0.0006,9.3377,2.68
72,299008,264.1,1132.3,275.58,23136.0,3039.9,415.9,0.99,30880.0,-0.0035,2.0824,2.6783
73,303104,267.7,1132.3,275.58,23136.0,3039.9,415.9,0.99,30880.0,-0.0094,1.4817,2.7041
74,307200,271.3,1132.3,275.58,23136.0,3039.9,415.9,0.99,30880.0,-0.0046,3.9423,2.7295
75,311296,275.0,1132.2,275.58,23136.0,3039.9,415.9,0.99,30880.0,-0.0029,1.5063,2.7159
76,315392,278.6,1131.9,275.91,23176.5,3041.2,413.9,0.99,30880.0,-0.0017,24.9384,2.6901
77,319488,282.4,1131.5,275.91,23176.5,3041.2,413.9,0.99,30880.0,-0.0065,3.417,2.7032
78,323584,286.0,1131.4,275.91,23176.5,3041.2,413.9,0.99,30880.0,-0.0089,1.6214,2.7016
79,327680,289.7,1131.0,275.81,23160.2,3035.1,411.3,0.99,30880.0,-0.0031,13.862,2.6955
80,331776,293.2,1131.4,275.81,23160.2,3035.1,411.3,0.99,30880.0,-0.0089,1.1567,2.6855
81,335872,296.9,1131.2,275.81,23160.2,3035.1,411.3,0.99,30880.0,-0.0104,1.1891,2.6685
82,339968,300.6,1131.1,275.88,23201.2,3027.3,409.6,0.99,30880.0,-0.0014,25.0884,2.6611
83,344064,304.1,1131.3,275.88,23201.2,3027.3,409.6,0.99,30880.0,-0.0077,2.7634,2.6262
84,348160,307.7,1131.4,275.88,23201.2,3027.3,409.6,0.99,30880.0,-0.0046,1.0411,2.5765
85,352256,311.3,1131.7,274.63,23173.2,2976.3,405.8,0.99,30880.0,0.0047,94.2682,2.5578
86,356352,314.8,1132.1,294.67,23963.2,2806.6,328.6,1.0,30880.0,-0.0022,120.8149,2.6046
87,360448,318.2,1132.7,298.35,24269.2,2801.8,323.8,1.0,30880.0,-0.005,62.3892,2.5991
88,364544,321.7,1133.1,298.14,24290.0,2798.7,325.1,1.0,30880.0,-0.0056,22.7899,2.5983
89,368640,325.1,1133.8,298.95,24458.2,2797.6,326.8,1.0,30880.0,-0.0014,14.8979,2.6321
90,372736,328.7,1134.0,298.95,24458.2,2797.6,326.8,1.0,30880.0,-0.004,0.9845,2.6059
91,376832,332.2,1134.3,299.69,24541.0,2797.8,326.9,1.0,30880.0,0.0008,19.8828,2.5958
92,380928,335.7,1134.9,301.93,24699.5,2809.4,322.9,1.0,30880.0,0.0063,61.6367,2.597
93,385024,339.1,1135.4,301.57,24672.8,2810.0,323.1,1.0,30880.0,-0.0056,13.668,2.6061
94,389120,342.6,1135.8,302.34,24753.0,2820.1,326.0,1.0,30880.0,-0.0049,15.0324,2.593
95,393216,346.1,1136.1,302.34,24753.0,2820.1,326.0,1.0,30880.0,-0.0002,2.6519,2.5901
96,397312,349.8,1135.8,302.34,24753.0,2820.1,326.0,1.0,30880.0,-0.0091,1.4466,2.6101
97,401408,353.3,1136.0,302.34,24753.0,2820.1,326.0,1.0,30880.0,-0.0108,0.8001,2.5818
98,405504,356.8,1136.4,303.1,24911.2,2816.4,325.2,1.0,30880.0,-0.0046,23.9027,2.5343
99,409600,360.2,1137.0,303.1,24911.2,2816.4,325.2,1.0,30880.0,-0.0166,3.18,2.5482
100,413696,363.8,1137.3,303.1,24911.2,2816.4,325.2,1.0,30880.0,-0.0062,1.3555,2.5408
101,417792,367.2,1137.8,303.83,24988.5,2817.1,323.9,1.0,30880.0,-0.0064,20.024,2.5579
102,421888,370.7,1138.2,303.83,24988.5,2817.1,323.9,1.0,30880.0,-0.0061,0.8869,2.5927
103,425984,374.3,1138.2,303.83,24988.5,2817.1,323.9,1.0,30880.0,-0.0067,0.8712,2.5783
104,430080,377.7,1138.7,304.66,25068.2,2811.5,323.4,1.0,30880.0,-0.0054,16.4408,2.5888
105,434176,381.3,1138.6,304.66,25068.2,2811.5,323.4,1.0,30880.0,-0.0015,1.6261,2.5342
106,438272,385.1,1138.2,305.3,25136.0,2810.6,322.3,1.0,30880.0,-0.0026,16.9038,2.4971
107,442368,388.7,1138.0,305.92,25190.8,2813.4,326.4,1.0,30880.0,0.0002,27.931,2.5089
108,446464,392.3,1138.0,305.69,25291.8,2810.8,329.6,1.0,30880.0,0.0015,24.3957,2.5261
109,450560,395.9,1138.0,306.22,25271.0,2818.8,330.6,1.0,30880.0,-0.0029,47.844,2.528
110,454656,399.6,1137.8,305.91,25267.0,2833.3,332.9,1.0,30880.0,-0.0043,22.3306,2.5351
111,458752,403.4,1137.2,307.5,25381.5,2849.9,332.0,1.0,30880.0,-0.0055,16.4748,2.5261
112,462848,407.0,1137.1,307.27,25441.5,2885.9,335.4,1.0,30880.0,0.0009,27.9578,2.5056
113,466944,410.7,1137.0,306.56,25343.5,2885.5,338.1,1.0,30880.0,-0.0014,32.7753,2.5385
114,471040,414.3,1137.0,306.5,25310.5,2892.3,335.6,1.0,30880.0,-0.0079,19.6783,2.5756
115,475136,417.9,1136.9,305.45,25197.2,2930.8,342.7,1.0,30880.0,-0.0065,50.7783,2.5476
116,479232,421.5,1136.9,305.45,25197.2,2930.8,342.7,1.0,30880.0,-0.0089,1.9554,2.6199
117,483328,425.1,1136.9,306.12,25251.0,2954.3,343.6,1.0,30880.0,-0.0009,13.9764,2.596
118,487424,428.7,1136.9,306.28,25256.5,2969.3,346.1,1.0,30880.0,-0.0118,17.7155,2.5752
119,491520,432.5,1136.5,305.18,25214.8,2969.4,346.9,1.0,30880.0,0.0017,24.0359,2.5953
120,495616,436.1,1136.4,305.18,25214.8,2969.4,346.9,1.0,30880.0,-0.0057,3.5132,2.5886
121,499712,440.0,1135.8,305.18,25214.8,2969.4,346.9,1.0,30880.0,-0.0083,1.3956,2.6122
