update,agent_steps,elapsed_s,steps_per_s,mean_return,mean_score,mean_length,mean_grazes,mean_progress,best_score,policy_loss,value_loss,entropy
0,2048,1.8,1135.7,nan,nan,nan,nan,nan,0.0,-0.0188,0.036,2.8881
1,4096,3.4,1202.7,nan,nan,nan,nan,nan,0.0,-0.0126,0.0733,2.8871
2,6144,5.0,1222.0,nan,nan,nan,nan,nan,0.0,-0.0124,0.2222,2.8855
3,8192,6.7,1230.3,nan,nan,nan,nan,nan,0.0,-0.0081,0.4723,2.8828
4,10240,8.3,1227.2,nan,nan,nan,nan,nan,0.0,-0.0105,0.3873,2.881
5,12288,10.0,1230.1,nan,nan,nan,nan,nan,0.0,-0.0101,0.2321,2.886
6,14336,11.7,1229.9,nan,nan,nan,nan,nan,0.0,0.0,20.0569,2.8849
7,16384,13.4,1224.9,nan,nan,nan,nan,nan,0.0,-0.0036,0.4401,2.8827
8,18432,15.2,1214.3,nan,nan,nan,nan,nan,0.0,-0.0086,0.4948,2.8823
9,20480,17.2,1193.8,nan,nan,nan,nan,nan,0.0,-0.0095,0.263,2.8818
10,22528,19.0,1182.6,nan,nan,nan,nan,nan,0.0,-0.0095,0.2492,2.8825
11,24576,20.9,1178.0,nan,nan,nan,nan,nan,0.0,-0.004,0.3877,2.8782
12,26624,22.7,1175.2,nan,nan,nan,nan,nan,0.0,-0.0084,0.2297,2.8726
13,28672,24.6,1166.4,nan,nan,nan,nan,nan,0.0,-0.0092,0.3182,2.8678
14,30720,26.8,1147.2,nan,nan,nan,nan,nan,0.0,-0.0071,0.4086,2.8608
15,32768,28.8,1136.6,nan,nan,nan,nan,nan,0.0,0.0004,0.4575,2.8603
16,34816,30.9,1128.2,nan,nan,nan,nan,nan,0.0,-0.0002,2.035,2.8551
17,36864,32.9,1120.5,nan,nan,nan,nan,nan,0.0,-0.004,0.5687,2.8507
18,38912,34.7,1120.2,nan,nan,nan,nan,nan,0.0,-0.0051,0.1483,2.8574
19,40960,36.6,1120.1,nan,nan,nan,nan,nan,0.0,-0.0017,0.2422,2.8547
20,43008,38.4,1121.3,147.88,13360.0,2678.0,644.0,0.9,13360.0,-0.003,0.2616,2.8576
21,45056,40.2,1122.0,166.02,15107.5,2744.5,624.8,0.9,16900.0,-0.0008,0.5859,2.8514
22,47104,41.9,1123.1,168.0,15268.3,2781.8,626.8,0.9,16900.0,-0.0018,0.3369,2.846
23,49152,43.7,1123.6,169.97,15443.8,2840.4,661.6,0.9,16900.0,-0.0018,0.5622,2.8488
24,51200,45.5,1124.8,169.97,15443.8,2840.4,661.6,0.9,16900.0,-0.0014,0.2934,2.8504
25,53248,47.6,1119.5,172.2,15618.9,2884.2,659.9,0.9,17020.0,-0.0012,0.4851,2.855
26,55296,49.5,1117.7,172.2,15618.9,2884.2,659.9,0.9,17020.0,-0.0014,0.5203,2.8597
27,57344,51.3,1117.6,172.2,15618.9,2884.2,659.9,0.9,17020.0,-0.0006,1.9963,2.8634
28,59392,53.2,1117.3,172.2,15618.9,2884.2,659.9,0.9,17020.0,-0.0006,4.7732,2.8664
